Song_id,Echo_song_id,Echo_artist_id,Artist,Title,MBID,Valence,Arousal,energy,liveliness,tempo,speechiness,acousticness,danceability,instrumental,loudness,valence,key,mode,time,key,Chord_progression
7989,SOXESJW1315CD467A6,AR065TW1187FB4C3A5,Tricky,Tears out of my eyes,5bf64d94-efd9-4334-96fd-e6197b0b02b8,26489,134000,0.492988,0.200056,125.274,0.085028,0.096718,0.421042,0.247047,-11.862,0.312778,8,1,4,Ab,Eam|Dbj|Eam|Fam|Eam|Fam|Eam|Caj|Eam|Fam|Eam|Dbm|Eaj|Dbm|Eaj|Eam|Dbm|Dbj|Dbm|Eam|Dam|Eam|Dam|Eam|Aaj|Baj|Eam|Aaj|Eam|Baj|Eam|Dam|Baj|Aaj|Eam|Caj|Eam|Caj|Eam|Eaj|Eam|Dbj|Caj|Eaj|Dbm|Dam|Eam|Caj|Dbm|Eaj|Eam|Eaj|Bam
7986,SONYTUX12A6310E831,AR065TW1187FB4C3A5,Tricky,Peyote sings,5bf64d94-efd9-4334-96fd-e6197b0b02b8,26490,148000,0.462102,0.134841,109.909,0.058314,0.216458,0.583084,0.773337,-10.713,0.279339,10,0,4,Bb,Cam|Abj|Cam|Abj|Cam|Abj|Cam|Abj|Cam|Abj|Cam|Abj|Cam|Dbm|Abj|Cam|Abj|Abm|Abj|Gaj|Cam|Abj|Cam|Gaj|Ebj|Gaj|Abj|Cam|Ebj|Dbm|Cam|Abj|Dbm|Cam|Abj|Dbm|Gam|Abj|Cam|Bbj|Cam|Abj|Cam|Bbj|Abj|Dbm|Cam|Abj|Cam|Abj|Gam|Cam|Bbj|Cam|Gam|Gaj|Ebj|Cam|Gaj|Ebj|Cam|Abj|Abm|Gaj|Cam|Gaj|Cam|Bbj|Gaj|Abm|Bam|Abj|Cam|Abj|Cam|Abj|Gam|Gaj|Abj|Cam|Gam|Abj|Cam|Bbj|Cam|Gam|Abj|Cam|Eaj|Abj|Abm|Abj|Dbm|Cam
7977,SOHPXEH12A6310E82F,AR065TW1187FB4C3A5,Tricky,Carriage for two,5bf64d94-efd9-4334-96fd-e6197b0b02b8,26504,269000,0.636327,0.113617,123.103,0.113544,0.146576,0.52566,0.598606,-14.135,0.063412,9,1,4,Aa,Gaj|Gam|Gaj|Gam|Gaj|Dam|Gam|Dam|Gam|Gaj|Gam|Caj|Eam|Caj|Cam|Bam|Ebj|Caj|Ebm|Caj|Eam|Caj|Eam|Caj|Ebj|Eam|Caj|Eam|Caj|Eam|Caj|Eam|Caj|Cam|Ebj|Eam|Caj|Eam|Caj|Ebj|Caj|Eam|Caj|Eam|Caj|Ebm|Eam|Aam|Caj|Ebm|Eam|Caj|Eam|Caj|Eam|Caj|Eam|Caj|Eam|Caj|Ebm|Caj|Eam|Caj|Eam|Caj|Eam|Caj|Eam|Ebm|Ebj|Caj|Ebm|Caj|Eam|Caj|Eam|Caj|Eam|Caj
7978,SOFMREE12A8C13BAE9,AR065TW1187FB4C3A5,Tricky,Christiansands,5bf64d94-efd9-4334-96fd-e6197b0b02b8,26504,269000,0.784261,0.16934,89.999,0.135944,0.013154,0.660965,0.007868,-10.184,0.522415,11,1,4,Ba,Cam|Dbj|Fam|Dbj|Gam|Caj|Dbj|Caj|Dbj|Gaj|Caj|Dbj|Cam|Bbm|Caj|Gaj|Bbm|Cam|Dbj|Bbm|Bam|Cam|Bbm|Caj|Cam|Caj|Cam|Dbj|Cam|Dbj|Caj|Dbj|Dam|Bbj|Dbj|Bbm|Dbj|Faj|Dbj|Gaj|Caj|Bbm|Bbj|Gaj|Caj|Bbm|Caj|Dbj|Cam|Caj|Bbm|Dbj|Caj|Cam|Bbm|Dbj|Cam|Dam|Bam|Dbj|Gaj|Dam|Bbj|Bbm|Dbj|Caj|Gbm|Gaj|Dbj|Bbm|Caj|Dbj|Cam|Bbm|Caj|Dbj|Caj|Dbj|Dbm|Gaj|Fam|Dbj|Caj|Bbm|Fam|Bbm|Caj|Dbj|Dam
7982,SOEEBVK12AB017E4F1,AR065TW1187FB4C3A5,Tricky,Makes me wanna die,5bf64d94-efd9-4334-96fd-e6197b0b02b8,26504,269000,0.519315,0.343788,82.598,0.120073,0.544051,0.620446,4.90E-05,-10.801,0.524309,11,1,4,Ba,Gaj|Cam|Gaj|Gbj|Caj|Dbj|Caj|Fam|Cam|Aam|Dam|Faj|Cam|Bbm|Gaj|Cam|Gaj|Aaj|Aam|Cam|Bbm|Gam|Cam|Dam|Cam|Gaj|Faj|Gaj|Cam|Gam|Gaj|Caj|Bbj|Gaj|Cam|Aam|Cam|Faj|Bbm|Cam|Gaj|Caj|Gaj|Dbj|Cam|Caj|Gaj|Bbm|Aaj|Faj|Gaj|Aam|Gaj|Aam|Aaj|Gbm|Dam|Caj|Dam|Caj|Gaj|Eam|Gaj|Caj|Aaj|Caj|Dam|Cam|Bbm|Aam|Aaj|Caj|Gaj|Aam|Gaj|Bbm|Caj|Fam
7983,SOQVEQS12A6310E81B,AR065TW1187FB4C3A5,Tricky,Mellow,5bf64d94-efd9-4334-96fd-e6197b0b02b8,26504,269000,0.667364,0.122894,180.235,0.097952,0.019333,0.591801,0.851428,-9.917,0.374938,7,0,4,Ga,Ebm|Fam|Bam|Fam|Bam|Fam|Bam|Daj|Fam|Daj|Bam|Daj|Baj|Bam|Daj|Fam|Faj|Ebm|Faj|Fam|Faj|Fam|Daj|Bam|Fam|Bam|Fam|Baj|Ebm|Bam|Faj|Fam|Ebm|Gbm|Gbj|Fam|Baj|Fam|Faj|Bam|Fam|Caj|Bbj|Fam|Bbj|Gam|Bbj|Fam|Ebm|Faj|Fam|Faj|Fam|Gbj|Fam|Gbj|Fam|Faj|Gam|Faj|Bbj|Faj|Bbj|Daj|Bbj|Fam|Faj|Fam|Faj
67375,SOOCKVL12A8C133710,ARH6W4X1187B99274F,Radiohead,Nude,a74b1b7f-71a5-4011-9441-d0b5e4122711,26518,367000,0.340774,0.090398,128.281,0.035329,0.849143,0.500129,0.598475,-9.844,0.156629,4,1,3,Ea,Fam|Caj|Eam|Faj|Aam|Faj|Caj|Eam|Aam|Faj|Aam|Aaj|Aam|Dam|Aam|Aaj|Gam|Cam|Eam|Caj|Eaj|Dbm|Faj|Aam|Gaj|Caj|Eam|Faj|Caj|Eam|Faj|Caj|Eaj|Aam|Fam|Faj|Aam|Gaj|Eam|Eaj|Faj|Caj|Aam|Faj|Caj|Faj|Aam|Faj|Caj|Fam|Caj|Fam|Abj|Fam|Caj
7972,SOAXHNG12A6310E82D,AR065TW1187FB4C3A5,Tricky,6 minutes,5bf64d94-efd9-4334-96fd-e6197b0b02b8,26519,395000,0.759463,0.568566,177.158,0.218068,0.000178,0.553977,0.166479,-9.064,0.503814,1,0,4,Db,Gbm|Faj|Bbj|Dam|Fam|Bam|Fam|Abj|Gaj|Cam|Abj|Fam|Caj|Cam|Fam|Cam|Fam|Cam|Baj|Cam|Fam|Gaj|Cam|Gaj|Fam|Faj|Abj|Caj|Fam|Cam|Baj|Fam|Bam|Cam|Fam|Cam|Fam|Faj|Gaj|Cam|Caj|Fam|Cam|Fam|Cam|Abj|Fam|Cam|Bam|Fam|Cam|Fam|Cam|Gaj|Fam|Gaj|Cam|Caj|Cam|Fam|Baj|Abm|Cam|Baj|Caj|Cam|Fam|Cam|Bam|Cam|Caj|Fam|Caj|Cam|Fam|Abj|Cam|Fam|Bbj|Cam|Gaj|Cam|Fam|Cam|Fam|Cam|Fam|Cam|Fam|Cam|Fam|Cam|Gaj|Fam|Cam|Fam|Bbj|Fam|Bbj|Cam|Fam|Cam|Fam|Cam|Fam|Gaj|Cam|Bbj|Cam|Fam
7985,SOADNZV12A67020EFE,AR065TW1187FB4C3A5,Tricky,My evil is strong,5bf64d94-efd9-4334-96fd-e6197b0b02b8,26519,381000,0.607549,0.099275,175.201,0.367544,0.015369,0.432741,0.232573,-10.775,0.745525,6,0,1,Gb,Cam|Eam|Caj|Abj|Cam|Dbj|Bbm|Gam|Cam|Dam|Cam|Gam|Cam|Daj|Cam|Bbm|Cam|Abj|Cam|Abj|Cam|Abj|Cam|Bbj|Cam|Gam|Cam|Abj|Cam|Abj|Cam|Abj|Cam|Abj|Cam|Abj|Cam|Abj|Cam|Abj|Cam|Abj|Cam|Abj|Cam|Ebj|Cam|Ebj|Cam|Abj|Cam|Abj|Cam|Abj|Aaj
6643,SOEMZEE13730342A6B,ARH6W4X1187B99274F,Radiohead,The gloaming,a74b1b7f-71a5-4011-9441-d0b5e4122711,26519,381000,0.609013,0.382153,133.243,0.277918,0.105949,0.439823,0.109803,-13.37,0.114629,4,0,4,Ea,Gbm|Faj|Gbm|Abm|Eaj|Dbm|Fam|Dam|Fam|Eaj|Fam|Eaj|Dam|Daj|Eaj|Dam|Daj|Fam|Daj|Dam|Fam|Daj|Fam|Eaj|Fam|Eaj|Fam|Dam|Fam|Eaj|Dam|Eaj|Fam|Dam|Fam|Dam|Fam|Dam|Fam|Dbj|Fam|Eaj|Dam|Daj|Eaj|Fam
