row_id,Echo Artist,Local Artist,Local title,Echo_song_title,Echo Artist_id,Echo_song_id,local_add,energy,liveness,tempo,speechiness,acousticness,danceability,instrumentalness,loudness,valence,key,mode,labeled_valence,labeled_arousal
0,James Brown,James Brown ,I Don&t mind ,I Don't Mind,ARRDLVE1187FB48F11,SODVORJ14F9B201DA0,salami/0003,0.350746,0.141282,97.846,0.038508,0.912572,0.73862,0.355196,-10.795,0.563255,9,0,1,1
1,Roberta Flack & Donny Hathaway,Roberta Flack ,You&ve got a Friend ,You've Got A Friend,ARIPNPE1187FB3EE18,SOQQWVJ144E5DFA591,salami/0004,0.288593,0.110014,84.639,0.041426,0.765464,0.393544,8.00E-06,-15.028,0.34957,8,1,0,1
2,Bette Midler,Bette Midler ,The Rose ,The Rose - Bette Midler,ARFJZRY1187FB3C85E,SOZAAWD1375B6B626B,salami/0006,0.99989,0.59723,135.104,0.111232,0.232144,0.243437,0.857686,-5.407,1.00E-05,0,1,1,2
3,Billy Joel,Billy Joel ,An Innocent Man ,Billy Joel on AN INNOCENT MAN - from THE COMPLETE ALBUMS COLLECTION,ARNYFVH1187B9B6A9E,SOBVLQN13E905818FC,salami/0010,0.244156,0.180535,71.29,0.962316,0.767327,0.624682,0,-16.392,0.656817,5,1,1,1
4,Johnny Lee,Johnny Lee ,Lookin& for Love ,Lookin' For Love,ARRFBJ11187FB5C54B,SONEPWB12AB018C110,salami/0012,0.654371,0.970528,122.475,0.038234,0.59711,0.572257,5.90E-05,-7.025,0.370348,2,1,0,2
5,Aerosmith,Aerosmith ,Last Child ,Last Child,AR12F2S1187FB56EEF,SOQXMJP14FC16A8417,salami/0015,0.76458,0.956474,170.491,0.043905,0.001027,0.256625,0.000281,-11.885,0.748338,9,1,0,3
6,Cyndi Lauper,Cyndi Lauper ,She Bop ,She Bop,ARGE7G11187FB37E05,SOFGRHI12A8C137437,salami/0016,0.912406,0.071011,136.464,0.035235,0.043279,0.644175,0.001822,-5.651,0.858507,0,1,1,3
7,Hall & Oates,Hall,Kiss On My List ,Kiss On My List,ARN0DMU1187FB5B63A,SOBOCVM146076A9044,salami/0018,0.590707,0.987558,118.965,0.037166,0.155047,0.660359,1.80E-05,-10.43,0.620337,0,1,1,1
8,Tanya Tucker,Tanya Tucker ,Here&s Some Love ,Here's Some Love,AR2R0MS1187B99F6A8,SOTJIMQ135CD2D48D8,salami/0019,0.428223,0.517955,135.912,0.039559,0.58875,0.588587,9.00E-06,-11.688,0.648758,1,1,1,1
9,The J. Geils Band,The J. Geils Band ,Just Can&t Wait ,Just Can't Wait,AR7GM0K1187B9B74B4,SOYYGGN137735B2232,salami/0021,0.646189,0.097664,152.306,0.044391,0.084174,0.660121,1.80E-05,-11.687,0.845803,7,1,1,1
10,The 5th Dimension,The 5th Dimension ,Never My Love ,Never My Love,ARKVEIM1187FB4D597,SODDLUF1313439A017,salami/0022,0.446869,0.977607,80.632,0.028939,0.734497,0.312909,0.002476,-9.027,0.260138,2,1,0,1
11,Talking Heads,Talking Heads ,And She Was ,And She Was,ARROQSO1187B9AEB80,SODJNNH137687F6AB2,salami/0023,0.84871,0.142789,126.476,0.029712,0.00509,0.695347,0.022814,-5.454,0.970003,9,1,1,2
12,The Chiffons,Chiffons ,Swing Talkin& Guy ,The Chiffons - Sweet Talking Guy,ARNUFGE1187B9B7881,SOSQPME14C2FEF102C,salami/0026,0.521235,0.170405,146.825,0.031538,0.778494,0.531715,0.001995,-9.667,0.664959,6,1,1,2
13,Bad Company,Bad Company ,Rock &n& Roll Fantasy ,Rock N' Roll Fantasy,ARD8JVH1187FB4DA04,SOBBVKC12AB0186F6C,salami/0027,0.927763,0.947438,114.396,0.076332,0.150697,0.345393,1.00E-06,-6.406,0.318789,2,1,0,3
14,R. Dean Taylor,R Dean Taylor,Indiana Wants Me ,Indiana Wants Me,ARGK83R1187FB39611,SOTLABG144E5B42119,salami/0030,0.835485,0.345003,177.577,0.049634,0.088323,0.41597,0.003275,-3.825,0.738473,8,1,0,2
15,Heart,Heart ,Crazy On You ,Crazy On You (Live),ARN3SEQ1187FB47AA8,SOEPJTW1377657D1EF,salami/0033,0.495302,0.923916,110.274,0.036027,0.227584,0.36038,0,-10.128,0.311296,9,0,0,2
16,Jimi Hendrix,Jimi Hendrix,Jimi Hendrix ,Jimi Hendrix - Freedom - Tulsa,ARNDL191187FB51583,SOTMIXO143EB0CF791,salami/0035,0.875041,0.172404,108.342,0.051732,0.942068,0.227119,0.990976,-12.255,0.074569,11,1,0,2
17,Flatt & Scruggs,Flatt Scruggs ,Foggy Mountain Breakdown ,Foggy Mountain Breakdown,ARJSCWB11F4C8489A9,SOEWSYM13134397F85,salami/0037,0.835528,0.282117,79.293,0.039081,0.618112,0.378376,0.850714,-8.927,0.970354,8,1,1,2
18,The Rolling Stones,Rolling Stones ,It&s Only Rock and Roll (But I Like It) ,It's Only Rock 'n' Roll (But I Like It),ARFCUN31187B9AD578,SOENNPJ144BDCA615E,salami/0039,0.915043,0.16799,128.458,0.043848,0.440576,0.605813,0.145819,-8.769,0.822899,9,1,1,3
19,Snap!,Snap ,The Power ,Snap! Vs Motivo - The Power Of Bhangra,AR5O6W51187FB46984,SOKLYHN1366F0C3E72,salami/0040,0.870389,0.564379,109.007,0.050506,0.068902,0.754558,0.006784,-7.032,0.700725,11,0,1,2
20,Simply The Best Sax: The Hits Of Phil Collins,Phil Collins ,Two Hearts ,Two Hearts (In The Style Of Phil Collins),ARWOTRN12FE08697DC,SOFSTNA13134385B87,salami/0043,0.787698,0.489107,154.98,0.029734,0.189149,0.471355,0.849423,-4.158,0.66782,9,1,1,2
21,Some Like It Hot - Original London Cast,The Power Station ,Some Like It Hot ,Overture: Some Like It Hot,AREJWYM12509412876,SOZKDDB1315CD51C67,salami/0044,0.340037,0.665102,123,0.064097,0.62496,0.463898,0.001371,-13.747,0.76194,0,0,0,1
22,Love Me Do,Beatles ,Love Me Do ,Love Me Do - The Beatles Tribute,ARLBCFJ133C8071137,SOFGQGD13134394410,salami/0050,0.827144,0.308309,147.85,0.052664,0.054658,0.607915,0.045977,-3.043,0.880363,7,1,1,2
23,Led Zepagain,Led Zeppelin ,Over The Hills and Far Away ,Over the Hills and Far Away - a Tribute to Led Zeppelin,ARWRNJZ122ECCBC177,SOPMVYW13DBE55F4EF,salami/0053,0.918272,0.094479,94.283,0.033642,0.088047,0.417287,0.023191,-3.97,0.62952,2,1,1,3
24,J. Frank Wilson & The Cavaliers,J. Frank Wilson,Last Kiss ,Last Kiss,ARLFKXU1187B9908FF,SOACMFT13E328821DA,salami/0054,0.526247,0.150232,136.615,0.045179,0.61897,0.720649,1.50E-05,-8.65,0.89524,4,1,1,2
25,The Robert Cray Band,The Robert Cray Band ,Smoking Gun ,Smoking Gun,AR8AVU31187FB42175,SOQNPNO14600C7AB53,salami/0055,0.908442,0.087974,125.831,0.026586,0.023811,0.721322,0.01284,-5.369,0.961066,4,0,1,2
26,Bobbi Martin,Bobbi Martin ,I Love You So ,I Love You So,AR2RBPO1187B999E1E,SOHYFUM1315CD51C02,salami/0056,0.36568,0.283016,114.983,0.030187,0.888686,0.371107,4.00E-06,-8.358,0.262334,10,1,0,0
27,Creedence Clearwater Revival,Creedence Clearwater Revival ,I Put A Spell On You ,I Put A Spell On You,ARSAIUN1187FB398D3,SOBGHHM13777E5A884,salami/0061,0.743925,0.098533,103.692,0.029266,0.004823,0.411938,0.094442,-8.109,0.597633,9,0,0,2
28,Gino Vannelli,Gino Vanelli ,Hurts To Be In Love ,Hurts to Be In Love,ARJHQNZ1187B99FBF7,SOATNFG1311AFD6D0C,salami/0062,0.599008,0.241751,143.876,0.030602,0.482534,0.41285,2.00E-05,-6.943,0.368705,2,0,0,1
29,Roy Orbison,Roy Orbison ,Cry Softly Lonely One ,4-04 Cry Softly Lonely One (Roy Orbi,ARFSZXM1187FB5A941,SOUAGCI12B0B80BD73,salami/0064,0.371676,0.101598,134.464,0.033156,0.944212,0.467743,0.784313,-13.591,0.470936,7,1,0,1
